year;state;month;number;date
2008;SILE;NISAN;7;1.01.2008
2006;KAGITHANE;SUBAT;7;1.01.2006
2005;KAGITHANE;MART;7;1.01.2005
2011;KAGITHANE;MART;7;1.01.2011
1999;KAGITHANE;MAYIS;7;1.01.1999
2010;KAGITHANE;HAZIRAN;7;1.01.2010
2000;KAGITHANE;SUBAT;7;1.01.2000
2007;KAGITHANE;MART;7;1.01.2007
2010;KAGITHANE;NISAN;7;1.01.2010
2013;KAGITHANE;NISAN;7;1.01.2013
1999;KAGITHANE;TEMMUZ;7;1.01.1999
2002;KAGITHANE;TEMMUZ;7;1.01.2002
2003;KAGITHANE;TEMMUZ;7;1.01.2003
2007;KAGITHANE;TEMMUZ;7;1.01.2007
2010;KAGITHANE;TEMMUZ;7;1.01.2010
2013;KAGITHANE;EYLUL;7;1.01.2013
2002;KAGITHANE;MAYIS;7;1.01.2002
2006;KAGITHANE;HAZIRAN;7;1.01.2006
2007;KAGITHANE;TEMMUZ;7;1.01.2007
2013;CEKMEKOY;OCAK;7;1.01.2013
2008;CEKMEKOY;SUBAT;7;1.01.2008
2005;CEKMEKOY;NISAN;7;1.01.2005
2006;CEKMEKOY;MAYIS;7;1.01.2006
2000;CEKMEKOY;ARALIK;7;1.01.2000
2000;ATASEHIR;MAYIS;7;1.01.2000
2016;ATASEHIR;HAZIRAN;7;1.01.2016
2002;ATASEHIR;TEMMUZ;7;1.01.2002
2002;ATASEHIR;AGUSTOS;7;1.01.2002
2009;KUCUKCEKMECE;SUBAT;7;1.01.2009
1999;KUCUKCEKMECE;MART;7;1.01.1999
2000;KUCUKCEKMECE;NISAN;7;1.01.2000
2002;KUCUKCEKMECE;NISAN;7;1.01.2002
2006;KUCUKCEKMECE;ARALIK;7;1.01.2006
1999;ZEYTINBURNU;OCAK;7;1.01.1999
2002;GAZIOSMANPASA;MART;7;1.01.2002
2014;GAZIOSMANPASA;NISAN;7;1.01.2014
2007;GAZIOSMANPASA;KASIM;7;1.01.2007
2013;GAZIOSMANPASA;KASIM;7;1.01.2013
2004;UMRANIYE;SUBAT;7;1.01.2004
2008;UMRANIYE;ARALIK;7;1.01.2008
2006;ARNAVUTKOY;MAYIS;8;1.01.2006
2013;ARNAVUTKOY;HAZIRAN;8;1.01.2013
2015;ARNAVUTKOY;ARALIK;8;1.01.2015
2003;BAGCILAR;EYLUL;8;1.01.2003
2001;BEYOGLU;SUBAT;8;1.01.2001
2002;BEYOGLU;MAYIS;8;1.01.2002
2005;BEYOGLU;MAYIS;8;1.01.2005
2009;KADIKOY;SUBAT;8;1.01.2009
2016;KADIKOY;MAYIS;8;1.01.2016
2010;KARTAL;NISAN;8;1.01.2010
1999;KARTAL;EKIM;8;1.01.1999
2017;MALTEPE;SUBAT;8;1.01.2017
1999;MALTEPE;MART;8;1.01.1999
2008;MALTEPE;NISAN;8;1.01.2008
2009;MALTEPE;NISAN;8;1.01.2009
2001;MALTEPE;MAYIS;8;1.01.2001
2005;MALTEPE;HAZIRAN;8;1.01.2005
2005;MALTEPE;EYLUL;8;1.01.2005
2016;MALTEPE;KASIM;8;1.01.2016
2009;ÇATALCA;NISAN;8;1.01.2009
2017;PENDIK;SUBAT;8;1.01.2017
2008;PENDIK;MART;8;1.01.2008
2014;PENDIK;NISAN;8;1.01.2014
2001;PENDIK;TEMMUZ;8;1.01.2001
2002;PENDIK;TEMMUZ;8;1.01.2002
2007;PENDIK;AGUSTOS;8;1.01.2007
2016;PENDIK;ARALIK;8;1.01.2016
2001;PENDIK;SUBAT;8;1.01.2001
2011;PENDIK;SUBAT;8;1.01.2011
2004;SISLI;SUBAT;8;1.01.2004
2016;SISLI;NISAN;8;1.01.2016
2010;SISLI;MAYIS;8;1.01.2010
2002;SISLI;TEMMUZ;8;1.01.2002
2006;SISLI;AGUSTOS;8;1.01.2006
2009;SILE;NISAN;8;1.01.2009
1999;SILE;MAYIS;8;1.01.1999
2004;KAGITHANE;SUBAT;8;1.01.2004
2006;KAGITHANE;MART;8;1.01.2006
2002;KAGITHANE;NISAN;8;1.01.2002
2006;KAGITHANE;NISAN;8;1.01.2006
1999;KAGITHANE;HAZIRAN;8;1.01.1999
2002;KAGITHANE;ARALIK;8;1.01.2002
2009;KAGITHANE;SUBAT;8;1.01.2009
2014;KAGITHANE;SUBAT;8;1.01.2014
2006;KAGITHANE;MART;8;1.01.2006
2000;KAGITHANE;HAZIRAN;8;1.01.2000
2007;KAGITHANE;MART;8;1.01.2007
2002;CEKMEKOY;SUBAT;8;1.01.2002
2007;CEKMEKOY;SUBAT;8;1.01.2007
2013;CEKMEKOY;SUBAT;8;1.01.2013
1999;CEKMEKOY;MART;8;1.01.1999
2008;CEKMEKOY;NISAN;8;1.01.2008
2011;CEKMEKOY;NISAN;8;1.01.2011
2008;ATASEHIR;MAYIS;8;1.01.2008
2007;ATASEHIR;ARALIK;8;1.01.2007
2000;KUCUKCEKMECE;SUBAT;8;1.01.2000
2011;KUCUKCEKMECE;MART;8;1.01.2011
2005;GAZIOSMANPASA;NISAN;8;1.01.2005
2017;GAZIOSMANPASA;NISAN;8;1.01.2017
1998;GAZIOSMANPASA;ARALIK;8;1.01.1998
2007;UMRANIYE;SUBAT;8;1.01.2007
2010;ARNAVUTKOY;MAYIS;9;1.01.2010
2004;BAGCILAR;OCAK;9;1.01.2004
2016;BAGCILAR;MART;9;1.01.2016
2008;BAGCILAR;EYLUL;9;1.01.2008
2004;BESIKTAS;AGUSTOS;9;1.01.2004
2013;BESIKTAS;AGUSTOS;9;1.01.2013
2009;BEYOGLU;OCAK;9;1.01.2009
2006;BEYOGLU;HAZIRAN;9;1.01.2006
2010;BEYOGLU;HAZIRAN;9;1.01.2010
2001;BEYOGLU;TEMMUZ;9;1.01.2001
2003;KADIKOY;SUBAT;9;1.01.2003
2017;KADIKOY;SUBAT;9;1.01.2017
2000;KADIKOY;MART;9;1.01.2000
2017;KADIKOY;MAYIS;9;1.01.2017
2004;KARTAL;MAYIS;9;1.01.2004
2009;KARTAL;MAYIS;9;1.01.2009
2014;KARTAL;MAYIS;9;1.01.2014
2000;KARTAL;AGUSTOS;9;1.01.2000
2016;KARTAL;EKIM;9;1.01.2016
2007;MALTEPE;MART;9;1.01.2007
2017;MALTEPE;MART;9;1.01.2017
2000;MALTEPE;HAZIRAN;9;1.01.2000
2001;MALTEPE;HAZIRAN;9;1.01.2001
2014;MALTEPE;HAZIRAN;9;1.01.2014
1999;MALTEPE;TEMMUZ;9;1.01.1999
2002;MALTEPE;TEMMUZ;9;1.01.2002
2005;MALTEPE;TEMMUZ;9;1.01.2005
1999;MALTEPE;KASIM;9;1.01.1999
2004;MALTEPE;ARALIK;9;1.01.2004
2013;MALTEPE;ARALIK;9;1.01.2013
2001;SARIYER;SUBAT;9;1.01.2001
2002;SARIYER;SUBAT;9;1.01.2002
2011;ÜSKÜDAR;SUBAT;9;1.01.2011
2005;ÜSKÜDAR;MART;9;1.01.2005
2006;ÜSKÜDAR;NISAN;9;1.01.2006
2007;ÇATALCA;MAYIS;9;1.01.2007
2009;PENDIK;SUBAT;9;1.01.2009
2013;PENDIK;SUBAT;9;1.01.2013
2014;PENDIK;TEMMUZ;9;1.01.2014
2010;PENDIK;AGUSTOS;9;1.01.2010
2000;PENDIK;EYLUL;9;1.01.2000
2013;PENDIK;SUBAT;9;1.01.2013
2004;PENDIK;MAYIS;9;1.01.2004
2003;SISLI;MART;9;1.01.2003
2017;SISLI;NISAN;9;1.01.2017
2013;SISLI;MAYIS;9;1.01.2013
2007;SILE;NISAN;9;1.01.2007
2013;KAGITHANE;OCAK;9;1.01.2013
2016;KAGITHANE;OCAK;9;1.01.2016
2013;KAGITHANE;MART;9;1.01.2013
2007;KAGITHANE;NISAN;9;1.01.2007
2013;KAGITHANE;NISAN;9;1.01.2013
2004;KAGITHANE;ARALIK;9;1.01.2004
2003;KAGITHANE;SUBAT;9;1.01.2003
2007;KAGITHANE;SUBAT;9;1.01.2007
1999;KAGITHANE;MART;9;1.01.1999
2005;KAGITHANE;AGUSTOS;9;1.01.2005
2000;KAGITHANE;KASIM;9;1.01.2000
2010;KAGITHANE;MAYIS;9;1.01.2010
1999;KAGITHANE;HAZIRAN;9;1.01.1999
1998;KAGITHANE;AGUSTOS;9;1.01.1998
2010;CEKMEKOY;SUBAT;9;1.01.2010
2012;CEKMEKOY;SUBAT;9;1.01.2012
2000;CEKMEKOY;MART;9;1.01.2000
2013;CEKMEKOY;NISAN;9;1.01.2013
2004;CEKMEKOY;MAYIS;9;1.01.2004
2013;CEKMEKOY;MAYIS;9;1.01.2013
2009;CEKMEKOY;ARALIK;9;1.01.2009
2001;ATASEHIR;MAYIS;9;1.01.2001
2011;ATASEHIR;TEMMUZ;9;1.01.2011
2014;ATASEHIR;TEMMUZ;9;1.01.2014
2000;ATASEHIR;AGUSTOS;9;1.01.2000
2005;ATASEHIR;AGUSTOS;9;1.01.2005
2004;ATASEHIR;EYLUL;9;1.01.2004
2007;ATASEHIR;EYLUL;9;1.01.2007
2007;KUCUKCEKMECE;OCAK;9;1.01.2007
2011;KUCUKCEKMECE;OCAK;9;1.01.2011
2010;KUCUKCEKMECE;MART;9;1.01.2010
2015;KUCUKCEKMECE;KASIM;9;1.01.2015
2016;GAZIOSMANPASA;OCAK;9;1.01.2016
2006;GAZIOSMANPASA;NISAN;9;1.01.2006
2016;GAZIOSMANPASA;MAYIS;9;1.01.2016
2009;GAZIOSMANPASA;KASIM;9;1.01.2009
2014;GAZIOSMANPASA;KASIM;9;1.01.2014
2013;GAZIOSMANPASA;ARALIK;9;1.01.2013
2014;GAZIOSMANPASA;ARALIK;9;1.01.2014
1999;UMRANIYE;NISAN;9;1.01.1999
1998;UMRANIYE;ARALIK;9;1.01.1998
2003;ARNAVUTKOY;OCAK;10;1.01.2003
2017;ARNAVUTKOY;MAYIS;10;1.01.2017
2011;ARNAVUTKOY;HAZIRAN;10;1.01.2011
2004;ARNAVUTKOY;KASIM;10;1.01.2004
2003;BAGCILAR;EKIM;10;1.01.2003
2013;BAGCILAR;KASIM;10;1.01.2013
2017;BAGCILAR;KASIM;10;1.01.2017
2014;BESIKTAS;OCAK;10;1.01.2014
2006;BEYOGLU;SUBAT;10;1.01.2006
2008;BEYOGLU;MART;10;1.01.2008
2015;BEYOGLU;MAYIS;10;1.01.2015
2012;KADIKOY;MART;10;1.01.2012
2016;KADIKOY;NISAN;10;1.01.2016
2002;KADIKOY;MAYIS;10;1.01.2002
2006;KARTAL;TEMMUZ;10;1.01.2006
2013;MALTEPE;OCAK;10;1.01.2013
1999;MALTEPE;SUBAT;10;1.01.1999
2017;MALTEPE;MAYIS;10;1.01.2017
2006;MALTEPE;EKIM;10;1.01.2006
2010;MALTEPE;ARALIK;10;1.01.2010
2000;SARIYER;OCAK;10;1.01.2000
2004;SARIYER;OCAK;10;1.01.2004
2001;SARIYER;MART;10;1.01.2001
2006;ÇATALCA;MART;10;1.01.2006
2011;ÇATALCA;NISAN;10;1.01.2011
2010;PENDIK;MAYIS;10;1.01.2010
2012;PENDIK;MAYIS;10;1.01.2012
2002;SISLI;OCAK;10;1.01.2002
2014;SISLI;NISAN;10;1.01.2014
2005;SISLI;AGUSTOS;10;1.01.2005
2009;SISLI;AGUSTOS;10;1.01.2009
1999;SILE;NISAN;10;1.01.1999
2004;SILE;NISAN;10;1.01.2004
2011;KAGITHANE;OCAK;10;1.01.2011
2003;KAGITHANE;SUBAT;10;1.01.2003
2010;KAGITHANE;MART;10;1.01.2010
2017;KAGITHANE;MART;10;1.01.2017
2010;KAGITHANE;NISAN;10;1.01.2010
2003;KAGITHANE;ARALIK;10;1.01.2003
2010;KAGITHANE;ARALIK;10;1.01.2010
2017;KAGITHANE;SUBAT;10;1.01.2017
2001;KAGITHANE;NISAN;10;1.01.2001
2011;KAGITHANE;AGUSTOS;10;1.01.2011
2007;KAGITHANE;HAZIRAN;10;1.01.2007
2013;KAGITHANE;HAZIRAN;10;1.01.2013
1999;KAGITHANE;TEMMUZ;10;1.01.1999
2000;KAGITHANE;EKIM;10;1.01.2000
2002;KAGITHANE;EKIM;10;1.01.2002
2003;CEKMEKOY;SUBAT;10;1.01.2003
2017;CEKMEKOY;SUBAT;10;1.01.2017
2003;CEKMEKOY;NISAN;10;1.01.2003
2002;CEKMEKOY;MAYIS;10;1.01.2002
1999;CEKMEKOY;HAZIRAN;10;1.01.1999
1999;ATASEHIR;EKIM;10;1.01.1999
2016;KUCUKCEKMECE;SUBAT;10;1.01.2016
2004;GAZIOSMANPASA;SUBAT;10;1.01.2004
2016;GAZIOSMANPASA;EKIM;10;1.01.2016
2000;ARNAVUTKOY;MART;11;1.01.2000
2000;BAGCILAR;OCAK;11;1.01.2000
2014;BAGCILAR;EYLUL;11;1.01.2014
2006;BESIKTAS;AGUSTOS;11;1.01.2006
2009;BEYOGLU;MART;11;1.01.2009
2003;BEYOGLU;NISAN;11;1.01.2003
2010;BEYOGLU;NISAN;11;1.01.2010
1999;BEYOGLU;TEMMUZ;11;1.01.1999
2001;KADIKOY;OCAK;11;1.01.2001
2007;KADIKOY;TEMMUZ;11;1.01.2007
2003;KARTAL;HAZIRAN;11;1.01.2003
2014;MALTEPE;OCAK;11;1.01.2014
2003;MALTEPE;SUBAT;11;1.01.2003
2009;MALTEPE;MART;11;1.01.2009
2006;MALTEPE;TEMMUZ;11;1.01.2006
2013;MALTEPE;KASIM;11;1.01.2013
2000;SARIYER;SUBAT;11;1.01.2000
2004;SARIYER;SUBAT;11;1.01.2004
2009;SARIYER;NISAN;11;1.01.2009
2000;ÜSKÜDAR;SUBAT;11;1.01.2000
2003;ÜSKÜDAR;SUBAT;11;1.01.2003
2002;ÇATALCA;NISAN;11;1.01.2002
2012;ÇATALCA;NISAN;11;1.01.2012
2001;PENDIK;OCAK;11;1.01.2001
2011;PENDIK;OCAK;11;1.01.2011
2000;PENDIK;SUBAT;11;1.01.2000
2015;PENDIK;NISAN;11;1.01.2015
2007;PENDIK;OCAK;11;1.01.2007
2013;SISLI;NISAN;11;1.01.2013
2012;SISLI;TEMMUZ;11;1.01.2012
2014;SISLI;TEMMUZ;11;1.01.2014
2007;SILE;SUBAT;11;1.01.2007
2011;SILE;SUBAT;11;1.01.2011
2012;KAGITHANE;SUBAT;11;1.01.2012
2003;KAGITHANE;NISAN;11;1.01.2003
2005;KAGITHANE;MAYIS;11;1.01.2005
2002;KAGITHANE;KASIM;11;1.01.2002
2015;KAGITHANE;ARALIK;11;1.01.2015
1999;KAGITHANE;SUBAT;11;1.01.1999
2000;KAGITHANE;MART;11;1.01.2000
2000;KAGITHANE;ARALIK;11;1.01.2000
2001;KAGITHANE;MART;11;1.01.2001
2010;CEKMEKOY;MART;11;1.01.2010
2008;CEKMEKOY;HAZIRAN;11;1.01.2008
2015;ATASEHIR;AGUSTOS;11;1.01.2015
2016;ATASEHIR;AGUSTOS;11;1.01.2016
1999;KUCUKCEKMECE;OCAK;11;1.01.1999
2001;KUCUKCEKMECE;OCAK;11;1.01.2001
2007;KUCUKCEKMECE;HAZIRAN;11;1.01.2007
2015;GAZIOSMANPASA;MAYIS;11;1.01.2015
2005;GAZIOSMANPASA;EKIM;11;1.01.2005
2006;UMRANIYE;MART;11;1.01.2006
2005;ARNAVUTKOY;OCAK;12;1.01.2005
2016;ARNAVUTKOY;OCAK;12;1.01.2016
2002;BAGCILAR;OCAK;12;1.01.2002
2004;BAGCILAR;EKIM;12;1.01.2004
2006;BAGCILAR;KASIM;12;1.01.2006
1999;BAGCILAR;ARALIK;12;1.01.1999
2001;BESIKTAS;AGUSTOS;12;1.01.2001
2005;BEYOGLU;MART;12;1.01.2005
2012;BEYOGLU;MAYIS;12;1.01.2012
2014;BEYOGLU;MAYIS;12;1.01.2014
2004;BEYOGLU;HAZIRAN;12;1.01.2004
2008;KADIKOY;SUBAT;12;1.01.2008
2002;KADIKOY;TEMMUZ;12;1.01.2002
2008;KARTAL;TEMMUZ;12;1.01.2008
1999;KARTAL;EYLUL;12;1.01.1999
2001;KARTAL;EYLUL;12;1.01.2001
2003;KARTAL;EKIM;12;1.01.2003
2008;MALTEPE;OCAK;12;1.01.2008
2009;MALTEPE;SUBAT;12;1.01.2009
2009;MALTEPE;HAZIRAN;12;1.01.2009
2001;MALTEPE;TEMMUZ;12;1.01.2001
2004;MALTEPE;AGUSTOS;12;1.01.2004
2005;MALTEPE;AGUSTOS;12;1.01.2005
2012;MALTEPE;AGUSTOS;12;1.01.2012
2002;MALTEPE;ARALIK;12;1.01.2002
2016;MALTEPE;ARALIK;12;1.01.2016
2002;SARIYER;OCAK;12;1.01.2002
2000;ÇATALCA;MAYIS;12;1.01.2000
2011;PENDIK;AGUSTOS;12;1.01.2011
2001;PENDIK;MART;12;1.01.2001
2012;SISLI;HAZIRAN;12;1.01.2012
2013;SISLI;HAZIRAN;12;1.01.2013
1998;SISLI;AGUSTOS;12;1.01.1998
2000;SILE;SUBAT;12;1.01.2000
2008;SILE;MAYIS;12;1.01.2008
2009;SILE;MAYIS;12;1.01.2009
2006;KAGITHANE;OCAK;12;1.01.2006
2012;KAGITHANE;OCAK;12;1.01.2012
2013;KAGITHANE;SUBAT;12;1.01.2013
2011;KAGITHANE;NISAN;12;1.01.2011
2012;KAGITHANE;NISAN;12;1.01.2012
2017;KAGITHANE;NISAN;12;1.01.2017
2006;KAGITHANE;EKIM;12;1.01.2006
2005;KAGITHANE;KASIM;12;1.01.2005
2013;KAGITHANE;ARALIK;12;1.01.2013
2010;KAGITHANE;SUBAT;12;1.01.2010
2001;KAGITHANE;OCAK;12;1.01.2001
1999;KAGITHANE;NISAN;12;1.01.1999
2011;KAGITHANE;HAZIRAN;12;1.01.2011
2014;CEKMEKOY;OCAK;12;1.01.2014
2004;CEKMEKOY;SUBAT;12;1.01.2004
2009;CEKMEKOY;MART;12;1.01.2009
2012;CEKMEKOY;NISAN;12;1.01.2012
2015;ATASEHIR;MAYIS;12;1.01.2015
2014;ATASEHIR;AGUSTOS;12;1.01.2014
2000;ATASEHIR;EYLUL;12;1.01.2000
2013;KUCUKCEKMECE;SUBAT;12;1.01.2013
2002;KUCUKCEKMECE;MART;12;1.01.2002
2017;KUCUKCEKMECE;MART;12;1.01.2017
2007;KUCUKCEKMECE;TEMMUZ;12;1.01.2007
2009;ZEYTINBURNU;OCAK;12;1.01.2009
2002;GAZIOSMANPASA;NISAN;12;1.01.2002
2011;GAZIOSMANPASA;NISAN;12;1.01.2011
1998;GAZIOSMANPASA;KASIM;12;1.01.1998
2012;UMRANIYE;OCAK;12;1.01.2012
2012;ARNAVUTKOY;KASIM;13;1.01.2012
2016;BAGCILAR;NISAN;13;1.01.2016
2009;BAGCILAR;EYLUL;13;1.01.2009
2000;BAGCILAR;EKIM;13;1.01.2000
2008;BEYOGLU;NISAN;13;1.01.2008
2010;BEYOGLU;MAYIS;13;1.01.2010
2009;BEYOGLU;HAZIRAN;13;1.01.2009
2016;KADIKOY;SUBAT;13;1.01.2016
2002;KADIKOY;HAZIRAN;13;1.01.2002
2007;KARTAL;EKIM;13;1.01.2007
2006;MALTEPE;OCAK;13;1.01.2006
2017;MALTEPE;OCAK;13;1.01.2017
2013;MALTEPE;MART;13;1.01.2013
2007;MALTEPE;TEMMUZ;13;1.01.2007
2008;MALTEPE;AGUSTOS;13;1.01.2008
2009;MALTEPE;EKIM;13;1.01.2009
2007;SARIYER;SUBAT;13;1.01.2007
1998;SARIYER;ARALIK;13;1.01.1998
2007;ÜSKÜDAR;SUBAT;13;1.01.2007
1999;BEYKOZ;MART;13;1.01.1999
2001;BEYKOZ;MART;13;1.01.2001
2011;ÇATALCA;SUBAT;13;1.01.2011
2005;PENDIK;MART;13;1.01.2005
2012;PENDIK;NISAN;13;1.01.2012
2012;PENDIK;AGUSTOS;13;1.01.2012
2005;PENDIK;EYLUL;13;1.01.2005
1999;SISLI;SUBAT;13;1.01.1999
2002;SISLI;MAYIS;13;1.01.2002
2017;SISLI;MAYIS;13;1.01.2017
2004;SISLI;TEMMUZ;13;1.01.2004
2015;SISLI;TEMMUZ;13;1.01.2015
2005;SILE;MART;13;1.01.2005
2003;SILE;MAYIS;13;1.01.2003
2010;KAGITHANE;OCAK;13;1.01.2010
2001;KAGITHANE;HAZIRAN;13;1.01.2001
2002;KAGITHANE;HAZIRAN;13;1.01.2002
2003;KAGITHANE;HAZIRAN;13;1.01.2003
2012;KAGITHANE;KASIM;13;1.01.2012
2012;KAGITHANE;SUBAT;13;1.01.2012
2001;KAGITHANE;HAZIRAN;13;1.01.2001
2016;KAGITHANE;TEMMUZ;13;1.01.2016
2006;KAGITHANE;AGUSTOS;13;1.01.2006
2003;KAGITHANE;SUBAT;13;1.01.2003
1999;KAGITHANE;MAYIS;13;1.01.1999
2001;KAGITHANE;EKIM;13;1.01.2001
2007;KAGITHANE;KASIM;13;1.01.2007
2003;CEKMEKOY;MART;13;1.01.2003
2014;CEKMEKOY;MART;13;1.01.2014
2000;CEKMEKOY;MAYIS;13;1.01.2000
2015;CEKMEKOY;MAYIS;13;1.01.2015
2009;CEKMEKOY;HAZIRAN;13;1.01.2009
2000;CEKMEKOY;KASIM;13;1.01.2000
2001;ATASEHIR;EKIM;13;1.01.2001
2012;KUCUKCEKMECE;SUBAT;13;1.01.2012
2006;ZEYTINBURNU;ARALIK;13;1.01.2006
2004;GAZIOSMANPASA;NISAN;13;1.01.2004
2011;UMRANIYE;SUBAT;13;1.01.2011
2005;UMRANIYE;MART;13;1.01.2005
2007;UMRANIYE;ARALIK;13;1.01.2007
2005;ARNAVUTKOY;KASIM;14;1.01.2005
2006;BAGCILAR;SUBAT;14;1.01.2006
2016;BAGCILAR;SUBAT;14;1.01.2016
1998;BAGCILAR;EYLUL;14;1.01.1998
2002;BAGCILAR;EYLUL;14;1.01.2002
2017;BAGCILAR;EKIM;14;1.01.2017
2014;BAGCILAR;KASIM;14;1.01.2014
2015;BESIKTAS;OCAK;14;1.01.2015
2003;BESIKTAS;AGUSTOS;14;1.01.2003
2007;BESIKTAS;ARALIK;14;1.01.2007
2003;KADIKOY;TEMMUZ;14;1.01.2003
2005;KADIKOY;TEMMUZ;14;1.01.2005
2006;MALTEPE;MART;14;1.01.2006
2013;MALTEPE;MAYIS;14;1.01.2013
2000;MALTEPE;EYLUL;14;1.01.2000
2007;MALTEPE;ARALIK;14;1.01.2007
1999;SARIYER;OCAK;14;1.01.1999
2003;SARIYER;OCAK;14;1.01.2003
2006;ÜSKÜDAR;MART;14;1.01.2006
2009;ÜSKÜDAR;NISAN;14;1.01.2009
2000;BEYKOZ;ARALIK;14;1.01.2000
2017;ÇATALCA;SUBAT;14;1.01.2017
2002;ÇATALCA;MART;14;1.01.2002
2003;ÇATALCA;NISAN;14;1.01.2003
2005;ÇATALCA;NISAN;14;1.01.2005
2003;PENDIK;AGUSTOS;14;1.01.2003
1999;PENDIK;EYLUL;14;1.01.1999
2007;PENDIK;NISAN;14;1.01.2007
2007;PENDIK;MAYIS;14;1.01.2007
2000;SISLI;MART;14;1.01.2000
2013;SISLI;AGUSTOS;14;1.01.2013
2014;SILE;SUBAT;14;1.01.2014
2000;SILE;MART;14;1.01.2000
2013;SILE;MART;14;1.01.2013
2000;KAGITHANE;HAZIRAN;14;1.01.2000
2012;KAGITHANE;HAZIRAN;14;1.01.2012
1999;KAGITHANE;TEMMUZ;14;1.01.1999
2008;KAGITHANE;TEMMUZ;14;1.01.2008
2012;KAGITHANE;MAYIS;14;1.01.2012
2005;KAGITHANE;NISAN;14;1.01.2005
2013;KAGITHANE;MAYIS;14;1.01.2013
2003;KAGITHANE;HAZIRAN;14;1.01.2003
2008;KAGITHANE;KASIM;14;1.01.2008
2004;CEKMEKOY;NISAN;14;1.01.2004
2003;ATASEHIR;EKIM;14;1.01.2003
2000;KUCUKCEKMECE;OCAK;14;1.01.2000
2012;KUCUKCEKMECE;OCAK;14;1.01.2012
2007;KUCUKCEKMECE;SUBAT;14;1.01.2007
2008;KUCUKCEKMECE;MART;14;1.01.2008
2013;KUCUKCEKMECE;MART;14;1.01.2013
2009;KUCUKCEKMECE;HAZIRAN;14;1.01.2009
2007;ZEYTINBURNU;OCAK;14;1.01.2007
2016;GAZIOSMANPASA;NISAN;14;1.01.2016
2008;GAZIOSMANPASA;ARALIK;14;1.01.2008
2011;UMRANIYE;OCAK;14;1.01.2011
2006;UMRANIYE;SUBAT;14;1.01.2006
2003;ARNAVUTKOY;KASIM;15;1.01.2003
2002;BAGCILAR;SUBAT;15;1.01.2002
2003;BAGCILAR;MART;15;1.01.2003
2001;BAGCILAR;EKIM;15;1.01.2001
1999;BAGCILAR;KASIM;15;1.01.1999
2007;BAGCILAR;KASIM;15;1.01.2007
2000;KADIKOY;NISAN;15;1.01.2000
2016;KARTAL;MAYIS;15;1.01.2016
2000;KARTAL;TEMMUZ;15;1.01.2000
2015;KARTAL;TEMMUZ;15;1.01.2015
2012;KARTAL;EKIM;15;1.01.2012
2010;MALTEPE;SUBAT;15;1.01.2010
2013;MALTEPE;SUBAT;15;1.01.2013
2014;MALTEPE;MART;15;1.01.2014
2014;MALTEPE;NISAN;15;1.01.2014
2012;MALTEPE;HAZIRAN;15;1.01.2012
2001;SARIYER;KASIM;15;1.01.2001
2007;FATIH;ARALIK;15;1.01.2007
2009;ÇATALCA;SUBAT;15;1.01.2009
2005;PENDIK;SUBAT;15;1.01.2005
2010;PENDIK;SUBAT;15;1.01.2010
2012;PENDIK;SUBAT;15;1.01.2012
2015;PENDIK;SUBAT;15;1.01.2015
2009;SISLI;MART;15;1.01.2009
2003;SILE;MART;15;1.01.2003
2011;SILE;MART;15;1.01.2011
2000;SILE;NISAN;15;1.01.2000
2017;KAGITHANE;OCAK;15;1.01.2017
2007;KAGITHANE;SUBAT;15;1.01.2007
2017;KAGITHANE;MAYIS;15;1.01.2017
2007;KAGITHANE;TEMMUZ;15;1.01.2007
2011;KAGITHANE;OCAK;15;1.01.2011
2016;KAGITHANE;OCAK;15;1.01.2016
2015;KAGITHANE;SUBAT;15;1.01.2015
2005;KAGITHANE;MART;15;1.01.2005
2004;KAGITHANE;AGUSTOS;15;1.01.2004
2009;KAGITHANE;SUBAT;15;1.01.2009
2006;KAGITHANE;ARALIK;15;1.01.2006
2009;KAGITHANE;ARALIK;15;1.01.2009
2006;CEKMEKOY;MART;15;1.01.2006
2015;CEKMEKOY;MART;15;1.01.2015
2014;CEKMEKOY;NISAN;15;1.01.2014
2015;CEKMEKOY;NISAN;15;1.01.2015
1999;ATASEHIR;OCAK;15;1.01.1999
2010;ATASEHIR;NISAN;15;1.01.2010
2007;ATASEHIR;EKIM;15;1.01.2007
1999;ATASEHIR;KASIM;15;1.01.1999
2010;KUCUKCEKMECE;SUBAT;15;1.01.2010
2014;KUCUKCEKMECE;MART;15;1.01.2014
2008;KUCUKCEKMECE;MAYIS;15;1.01.2008
2005;ZEYTINBURNU;ARALIK;15;1.01.2005
2013;GAZIOSMANPASA;NISAN;15;1.01.2013
2000;UMRANIYE;OCAK;15;1.01.2000
2003;UMRANIYE;SUBAT;15;1.01.2003
2006;UMRANIYE;ARALIK;15;1.01.2006
2000;BAGCILAR;SUBAT;16;1.01.2000
2004;BAGCILAR;MART;16;1.01.2004
2014;BAGCILAR;NISAN;16;1.01.2014
2010;BAGCILAR;EKIM;16;1.01.2010
2005;BAGCILAR;ARALIK;16;1.01.2005
2011;BESIKTAS;AGUSTOS;16;1.01.2011
2008;BEYOGLU;OCAK;16;1.01.2008
2013;BEYOGLU;SUBAT;16;1.01.2013
1999;KADIKOY;SUBAT;16;1.01.1999
1999;KADIKOY;HAZIRAN;16;1.01.1999
2000;KADIKOY;HAZIRAN;16;1.01.2000
2004;KADIKOY;TEMMUZ;16;1.01.2004
